City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,soure,-0.7167,-48.5233,26.53,82,94,5.3,BR,1675453550
145,ialibu,-6.2821,143.9935,14.35,99,100,0.42,PG,1675453550
146,deputatskiy,69.3,139.9,-35.3,100,95,1.54,RU,1675453550
147,kupang,-10.1667,123.5833,25.08,91,100,6.77,ID,1675453551
148,souillac,-20.5167,57.5167,26.21,89,75,3.09,MU,1675453551
149,carnarvon,-24.8667,113.6333,25.89,77,25,3.44,AU,1675453551
150,ulaangom,49.9811,92.0667,-26.61,96,100,0.87,MN,1675453559
151,belaya gora,68.5333,146.4167,-31.48,99,96,1.21,RU,1675453560
152,tuatapere,-46.1333,167.6833,21.35,73,4,2.1,NZ,1675453560
153,hobyo,5.3505,48.5268,24.62,68,10,8.57,SO,1675453561
154,novyy urengoy,66.0833,76.6333,-12.9,95,95,3.02,RU,1675453561
155,dingle,10.9995,122.6711,23.08,94,100,3.58,PH,1675453499
156,senai,1.5937,103.6482,25.11,87,20,1.54,MY,1675453563
157,neepawa,50.2289,-99.4664,-16.78,85,100,6.62,CA,1675453566
158,ilinskiy,55.619,38.1182,0.19,100,75,2.0,RU,1675453569
159,bethel,41.3712,-73.414,-6.25,34,75,7.72,US,1675453297
160,maneadero,31.7167,-116.5667,16.72,61,100,0.89,MX,1675453394
161,krasnaya yaruga,50.8008,35.6583,-0.95,99,100,0.7,RU,1675453573
162,morant bay,17.8815,-76.4093,29.79,65,14,4.41,JM,1675453574
163,sarakhs,36.5449,61.1577,7.61,77,0,2.33,IR,1675453574
164,pacific grove,36.6177,-121.9166,12.82,90,100,2.06,US,1675453477
165,port shepstone,-30.7414,30.455,23.01,82,22,1.86,ZA,1675453577
166,atuona,-9.8,-139.0333,25.84,80,20,8.6,PF,1675453579
167,belmonte,-15.8631,-38.8828,27.64,67,1,4.5,BR,1675453580
168,itaituba,-4.2761,-55.9836,33.09,58,40,3.09,BR,1675453581
169,shelburne,44.0787,-80.2041,-18.76,76,94,8.22,CA,1675453336
170,ocna sibiului,45.8833,24.05,-0.88,93,75,1.03,RO,1675453583
171,kovur,14.4833,79.9833,22.55,82,0,0.42,IN,1675453588
172,oriximina,-1.7656,-55.8661,29.16,68,65,2.12,BR,1675453589
173,harper,4.375,-7.7169,26.47,83,5,3.16,LR,1675453590
174,hualmay,-11.0964,-77.6139,24.55,74,94,4.47,PE,1675453591
175,igrim,63.1906,64.4162,-13.95,97,35,2.05,RU,1675453592
176,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,0.0,CA,1675453592
177,meadow lake,34.8014,-106.5436,12.05,26,82,2.33,US,1675453592
178,lorengau,-2.0226,147.2712,27.01,75,100,0.37,PG,1675453593
179,laguna,38.421,-121.4238,13.29,77,100,2.57,US,1675453593
180,los llanos de aridane,28.6585,-17.9182,15.86,75,20,3.09,ES,1675453594
181,cape town,-33.9258,18.4232,20.23,74,0,7.72,ZA,1675453519
182,hovd,48.0056,91.6419,-16.35,86,100,0.09,MN,1675453594
183,moose factory,51.2585,-80.6094,-29.0,57,100,6.69,CA,1675453595
184,ongandjera,-17.8833,15.0667,27.77,29,100,4.57,NA,1675453595
185,selje,62.0459,5.351,2.01,78,95,3.37,NO,1675453596
186,kruisfontein,-34.0033,24.7314,19.98,81,45,4.67,ZA,1675453596
187,port alfred,-33.5906,26.891,21.21,89,51,0.89,ZA,1675453597
188,faanui,-16.4833,-151.75,27.37,76,14,7.61,PF,1675453597
189,vilaka,57.1846,27.6722,-8.15,96,98,1.73,LV,1675453598
190,choma,-16.8065,26.9531,18.15,95,99,1.57,ZM,1675453598
191,lagunas,-5.2269,-75.6753,35.27,30,97,1.96,PE,1675453599
192,prince rupert,54.3161,-130.3201,5.83,92,100,8.75,CA,1675453599
193,skala,50.2305,19.8536,2.25,91,75,4.63,PL,1675453600
194,liku,-0.7275,119.8922,23.16,91,100,0.46,ID,1675453600
195,tigil,57.8,158.6667,-29.03,100,62,1.18,RU,1675453600
196,koluszki,51.7387,19.8199,2.79,100,100,8.51,PL,1675453601
197,camacha,33.0833,-16.3333,13.68,58,20,3.6,PT,1675453601
198,lavrentiya,65.5833,-171.0,-26.98,94,19,3.53,RU,1675453601
199,cabedelo,-6.9811,-34.8339,30.37,69,27,5.85,BR,1675453602
200,solhan,38.9634,41.0293,-10.46,93,98,1.39,TR,1675453602
201,olafsvik,64.8945,-23.7142,3.0,70,80,18.24,IS,1675453602
202,acarau,-2.8856,-40.12,27.83,73,44,7.06,BR,1675453603
203,pozo colorado,-23.4923,-58.7972,33.25,30,100,3.54,PY,1675453603
204,bathsheba,13.2167,-59.5167,28.34,61,20,8.23,BB,1675453604
205,buala,-8.145,159.5921,26.48,82,84,1.21,SB,1675453604
206,salalah,17.0151,54.0924,24.05,69,75,0.51,OM,1675453606
207,palmer,42.1584,-72.3287,-8.99,29,40,9.26,US,1675453341
208,calama,-22.4667,-68.9333,24.27,33,0,12.35,CL,1675453435
209,komsomolskiy,40.4272,71.7189,5.4,87,40,2.06,UZ,1675453607
210,oranjestad,12.524,-70.027,28.97,69,20,10.29,AW,1675453491
211,amurzet,47.6967,131.0981,-25.59,99,8,1.53,RU,1675453607
212,shingu,33.7333,135.9833,3.85,60,100,2.38,JP,1675453608
213,wuwei,37.9281,102.6414,-3.46,42,9,0.38,CN,1675453608
